Date,Fiscal_Year,Brand_Model,Metric_Type,Units
2023-09-01,2023-24,CHERY TIGGO,Sale,0
2023-10-01,2023-24,CHERY TIGGO,Prod,0
2023-10-01,2023-24,CHERY TIGGO,Sale,0
2023-11-01,2023-24,CHERY TIGGO,Prod,0
2023-11-01,2023-24,CHERY TIGGO,Sale,0
2023-12-01,2023-24,CHERY TIGGO,Prod,0
2023-12-01,2023-24,CHERY TIGGO,Sale,0
2024-01-01,2023-24,CHERY TIGGO,Prod,0
2024-01-01,2023-24,CHERY TIGGO,Sale,0
2024-02-01,2023-24,CHERY TIGGO,Prod,0
2024-02-01,2023-24,CHERY TIGGO,Sale,0
2024-03-01,2023-24,CHERY TIGGO,Prod,0
2024-03-01,2023-24,CHERY TIGGO,Sale,0
2024-04-01,2023-24,CHERY TIGGO,Prod,0
2024-04-01,2023-24,CHERY TIGGO,Sale,0
2024-05-01,2023-24,CHERY TIGGO,Prod,0
2024-05-01,2023-24,CHERY TIGGO,Sale,0
2024-06-01,2023-24,CHERY TIGGO,Prod,0
2024-06-01,2023-24,CHERY TIGGO,Sale,0
2018-07-01,2018-19,D-Max,Prod,0
2018-07-01,2018-19,D-Max,Sale,0
2018-08-01,2018-19,D-Max,Prod,0
2018-08-01,2018-19,D-Max,Sale,0
2018-09-01,2018-19,D-Max,Prod,0
2018-09-01,2018-19,D-Max,Sale,0
2018-10-01,2018-19,D-Max,Prod,0
2018-10-01,2018-19,D-Max,Sale,0
2018-11-01,2018-19,D-Max,Prod,0
2018-11-01,2018-19,D-Max,Sale,0
2018-12-01,2018-19,D-Max,Prod,0
2018-12-01,2018-19,D-Max,Sale,0
2019-01-01,2018-19,D-Max,Prod,0
2019-01-01,2018-19,D-Max,Sale,0
2019-02-01,2018-19,D-Max,Prod,405
2019-02-01,2018-19,D-Max,Sale,187
2019-03-01,2018-19,D-Max,Prod,33
2019-03-01,2018-19,D-Max,Sale,45
2019-04-01,2018-19,D-Max,Prod,7
2019-04-01,2018-19,D-Max,Sale,41
2019-05-01,2018-19,D-Max,Prod,43
2019-05-01,2018-19,D-Max,Sale,70
2019-06-01,2018-19,D-Max,Prod,37
2019-06-01,2018-19,D-Max,Sale,57
2019-07-01,2019-20,D-Max,Prod,101
2019-07-01,2019-20,D-Max,Sale,61
2019-08-01,2019-20,D-Max,Prod,50
2019-08-01,2019-20,D-Max,Sale,64
2019-09-01,2019-20,D-Max,Prod,59
2019-09-01,2019-20,D-Max,Sale,64
2019-10-01,2019-20,D-Max,Prod,45
2019-10-01,2019-20,D-Max,Sale,46
2019-11-01,2019-20,D-Max,Prod,15
2019-11-01,2019-20,D-Max,Sale,15
2019-12-01,2019-20,D-Max,Prod,15
2019-12-01,2019-20,D-Max,Sale,14
2020-01-01,2019-20,D-Max,Prod,30
2020-01-01,2019-20,D-Max,Sale,40
2020-02-01,2019-20,D-Max,Prod,30
2020-02-01,2019-20,D-Max,Sale,47
2020-03-01,2019-20,D-Max,Prod,30
2020-03-01,2019-20,D-Max,Sale,84
2020-04-01,2019-20,D-Max,Prod,0
2020-04-01,2019-20,D-Max,Sale,11
2020-05-01,2019-20,D-Max,Prod,0
2020-05-01,2019-20,D-Max,Sale,3
2020-06-01,2019-20,D-Max,Prod,90
2020-06-01,2019-20,D-Max,Sale,207
2020-07-01,2020-21,D-Max,Prod,115
2020-07-01,2020-21,D-Max,Sale,40
2020-08-01,2020-21,D-Max,Prod,50
2020-08-01,2020-21,D-Max,Sale,22
2020-09-01,2020-21,D-Max,Prod,60
2020-09-01,2020-21,D-Max,Sale,34
2020-10-01,2020-21,D-Max,Prod,15
2020-10-01,2020-21,D-Max,Sale,22
2020-11-01,2020-21,D-Max,Prod,0
2020-11-01,2020-21,D-Max,Sale,3
2020-12-01,2020-21,D-Max,Prod,16
2020-12-01,2020-21,D-Max,Sale,20
2021-01-01,2020-21,D-Max,Prod,15
2021-01-01,2020-21,D-Max,Sale,30
2021-02-01,2020-21,D-Max,Prod,14
2021-02-01,2020-21,D-Max,Sale,5
2021-03-01,2020-21,D-Max,Prod,22
2021-03-01,2020-21,D-Max,Sale,20
2021-04-01,2020-21,D-Max,Prod,38
2021-04-01,2020-21,D-Max,Sale,30
2021-05-01,2020-21,D-Max,Prod,30
2021-05-01,2020-21,D-Max,Sale,30
2021-06-01,2020-21,D-Max,Prod,45
2021-06-01,2020-21,D-Max,Sale,60
2024-07-01,2024-25,DEWAN                                     Honri-Ve,Prod,0
2024-07-01,2024-25,DEWAN                                     Honri-Ve,Sale,0
2024-08-01,2024-25,DEWAN                                     Honri-Ve,Prod,0
2024-08-01,2024-25,DEWAN                                     Honri-Ve,Sale,0
2024-09-01,2024-25,DEWAN                                     Honri-Ve,Prod,0
2024-09-01,2024-25,DEWAN                                     Honri-Ve,Sale,0
2024-10-01,2024-25,DEWAN                                     Honri-Ve,Prod,0
2024-10-01,2024-25,DEWAN                                     Honri-Ve,Sale,0
2024-11-01,2024-25,DEWAN                                     Honri-Ve,Prod,70
2024-11-01,2024-25,DEWAN                                     Honri-Ve,Sale,63
2024-12-01,2024-25,DEWAN                                     Honri-Ve,Prod,40
2024-12-01,2024-25,DEWAN                                     Honri-Ve,Sale,41
2025-01-01,2024-25,DEWAN                                     Honri-Ve,Prod,20
2025-01-01,2024-25,DEWAN                                     Honri-Ve,Sale,15
2025-02-01,2024-25,DEWAN                                     Honri-Ve,Prod,20
2025-02-01,2024-25,DEWAN                                     Honri-Ve,Sale,13
2025-03-01,2024-25,DEWAN                                     Honri-Ve,Prod,0
2025-03-01,2024-25,DEWAN                                     Honri-Ve,Sale,0
2025-04-01,2024-25,DEWAN                                     Honri-Ve,Prod,0
2025-04-01,2024-25,DEWAN                                     Honri-Ve,Sale,0
2025-05-01,2024-25,DEWAN                                     Honri-Ve,Prod,20
2025-05-01,2024-25,DEWAN                                     Honri-Ve,Sale,24
2025-06-01,2024-25,DEWAN                                     Honri-Ve,Prod,40
2025-06-01,2024-25,DEWAN                                     Honri-Ve,Sale,30
2024-07-01,2024-25,DEWAN KIA SHEHZORE,Prod,0
2024-07-01,2024-25,DEWAN KIA SHEHZORE,Sale,0
2024-08-01,2024-25,DEWAN KIA SHEHZORE,Prod,104
2024-08-01,2024-25,DEWAN KIA SHEHZORE,Sale,47
2024-09-01,2024-25,DEWAN KIA SHEHZORE,Prod,8
2024-09-01,2024-25,DEWAN KIA SHEHZORE,Sale,14
2024-10-01,2024-25,DEWAN KIA SHEHZORE,Prod,0
2024-10-01,2024-25,DEWAN KIA SHEHZORE,Sale,27
2024-11-01,2024-25,DEWAN KIA SHEHZORE,Prod,10
2024-11-01,2024-25,DEWAN KIA SHEHZORE,Sale,25
2024-12-01,2024-25,DEWAN KIA SHEHZORE,Prod,20
2024-12-01,2024-25,DEWAN KIA SHEHZORE,Sale,29
2025-01-01,2024-25,DEWAN KIA SHEHZORE,Prod,25
2025-01-01,2024-25,DEWAN KIA SHEHZORE,Sale,15
2025-02-01,2024-25,DEWAN KIA SHEHZORE,Prod,10
2025-02-01,2024-25,DEWAN KIA SHEHZORE,Sale,20
2025-03-01,2024-25,DEWAN KIA SHEHZORE,Prod,30
2025-03-01,2024-25,DEWAN KIA SHEHZORE,Sale,30
2025-04-01,2024-25,DEWAN KIA SHEHZORE,Prod,20
2025-04-01,2024-25,DEWAN KIA SHEHZORE,Sale,20
2025-05-01,2024-25,DEWAN KIA SHEHZORE,Prod,66
2025-05-01,2024-25,DEWAN KIA SHEHZORE,Sale,66
2025-06-01,2024-25,DEWAN KIA SHEHZORE,Prod,64
2025-06-01,2024-25,DEWAN KIA SHEHZORE,Sale,62
2012-07-01,2012-13,DYL Motorcycles,Prod,5207
2012-07-01,2012-13,DYL Motorcycles,Sale,6143
2012-08-01,2012-13,DYL Motorcycles,Prod,5038
2012-08-01,2012-13,DYL Motorcycles,Sale,5112
2012-09-01,2012-13,DYL Motorcycles,Prod,5400
2012-09-01,2012-13,DYL Motorcycles,Sale,4552
2012-10-01,2012-13,DYL Motorcycles,Prod,5117
2012-10-01,2012-13,DYL Motorcycles,Sale,6423
2012-11-01,2012-13,DYL Motorcycles,Prod,6065
2012-11-01,2012-13,DYL Motorcycles,Sale,4468
